nbedsx,tenex,tenure8x,tenure4x,accomhh1,dwtypenx,dwtype8x,dwtype3x,EPceeb12e,EPceib12e,gorehs,mean,std,p25,median,p75
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,North West,95.9,,95.9,95.9,95.9
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,South East,53.28,,53.28,53.28,53.28
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,D,South West,45.58,,45.58,45.58,45.58
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,London,43.894999999999996,0.9263098833543764,43.5675,43.894999999999996,44.2225
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,South East,38.4,,38.4,38.4,38.4
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,D,E,South West,47.07,16.631151493507595,41.19,47.07,52.95
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,E,London,49.68,,49.68,49.68,49.68
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,E,E,West Midlands,40.94,,40.94,40.94,40.94
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,E,South East,49.4,,49.4,49.4,49.4
1.0,own with mortgage,owner occupied - occupied,owner occupied,purpose built flat/maisonette,"purpose built flat, low rise","purpose built flat, low rise",low rise flat,F,G,North East,47.3,,47.3,47.3,47.3
1.0,own with mortgage,owner occupied - occupied,owner occupied,semi-detached,bungalow,bungalow,house or bungalow,E,F,South East,61.6,,61.6,61.6,61.6
1.0,own with mortgage,owner occupied - occupied,owner occupied,semi-detached,bungalow,bungalow,house or bungalow,F,E,East,44.2,,44.2,44.2,44.2
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,bungalow,bungalow,house or bungalow,D,C,Yorkshire and the Humber,40.23,,40.23,40.23,40.23
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,end terrace,small terraced house,house or bungalow,C,C,South West,48.52,,48.52,48.52,48.52
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,end terrace,small terraced house,house or bungalow,D,E,North West,50.58,,50.58,50.58,50.58
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,D,South East,47.44,,47.44,47.44,47.44
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,E,South East,53.06,,53.06,53.06,53.06
1.0,own with mortgage,owner occupied - occupied,owner occupied,terrace/end of terrace,mid terrace,small terraced house,house or bungalow,D,E,Yorkshire and the Humber,61.265,13.130972926634191,56.622499999999995,61.265,65.9075
1.0,privately rent,private rented - occupied,private rented,detached house or bungalow,bungalow,bungalow,house or bungalow,E,G,South West,38.22,,38.22,38.22,38.22
1.0,privately rent,private rented - occupied,private rented,detached house or bungalow,bungalow,bungalow,house or bungalow,G,F,East,46.3,,46.3,46.3,46.3
1.0,privately rent,private rented - occupied,private rented,non self contained,converted flat,converted flat,low rise flat,C,C,London,90.05,,90.05,90.05,90.05
1.0,privately rent,private rented - occupied,private rented,non self contained,converted flat,converted flat,low rise flat,C,C,South East,92.965,30.695505371308023,82.11250000000001,92.965,103.8175
1.0,privately rent,private rented - occupied,private rented,non self contained,detached,detached house,house or bungalow,C,D,South East,195.45,,195.45,195.45,195.45
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,C,C,London,132.36,,132.36,132.36,132.36
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,East Midlands,81.24,,81.24,81.24,81.24
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,London,135.88,10.323327951779897,130.185,133.23,140.25
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,North West,87.8,,87.8,87.8,87.8
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,South West,128.31,31.013703422841985,117.345,128.31,139.275
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,D,Yorkshire and the Humber,133.08,,133.08,133.08,133.08
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,E,London,105.57,,105.57,105.57,105.57
1.0,privately rent,private rented - occupied,private rented,non self contained,mid terrace,medium/large terraced house,house or bungalow,D,E,West Midlands,94.63,,94.63,94.63,94.63
